2021,PMC7836272,16,CEP57L1
2021,PMC7836272,17,CEP57
2021,PMC7836272,17,CEP57L1
2021,PMC7836272,18,CEP57L1
2021,PMC7836272,19,CEP57
2021,PMC7836272,20,CEP57L1
2021,PMC7836272,21,CEP57
2021,PMC7836272,21,CEP57L1
2021,PMC7836272,21,CEP57
2021,PMC7836272,22,CEP152
2021,PMC7836272,23,CEP63
2021,PMC7836272,23,CEP152
2021,PMC7836272,24,CEP57
2021,PMC7836272,25,CEP63
2021,PMC7836272,26,CEP57L1
2021,PMC7836272,27,CEP57
2021,PMC7938805,1,TP53
2021,PMC7938805,2,FRAP
2021,PMC7938805,3,DEUP1
